date,capacity
20210101,2767.0
20210102,2936.0
20210103,3037.0
20210104,3032.0
20210105,3067.0
20210106,3102.0
20210107,3102.0
20210108,3106.0
20210109,3201.0
20210110,2906.0
20210111,3093.0
20210112,3116.0
20210113,3114.0
20210114,3132.0
20210115,3309.0
20210116,3046.0
20210117,3034.0
20210118,3157.0
20210119,3158.0
20210120,3150.0
20210121,3074.0
20210122,3097.0
20210123,3203.0
20210124,3073.0
20210125,3269.0
20210126,3219.0
20210127,3064.0
20210128,3286.0
20210129,3203.0
20210130,3447.0
20210131,2906.0
20210201,2938.0
20210202,3046.0
20210203,3006.0
20210204,3132.0
20210205,3060.0
20210206,3066.0
20210207,2763.0
20210208,3047.0
20210209,2880.0
20210210,2887.0
20210211,2833.0
20210212,2992.0
20210213,3024.0
20210214,2911.0
20210215,2644.0
20210216,3001.0
20210217,2824.0
20210218,2907.0
20210219,2885.0
20210220,2975.0
20210221,3139.0
20210222,2989.0
20210223,3109.0
20210224,3049.0
20210225,3028.0
20210226,3041.0
20210227,2758.0
20210228,2672.0
20210301,2832.0
20210302,3221.0
20210303,3075.0
20210304,3088.0
20210305,3268.0
20210306,2805.0
20210307,2751.0
20210308,3110.0
20210309,3048.0
20210310,3055.0
20210311,3076.0
20210312,3272.0
20210313,3075.0
20210314,2933.0
20210315,3075.0
20210316,3087.0
20210317,3183.0
20210318,3214.0
20210319,3137.0
20210320,2838.0
20210321,3186.0
20210322,3225.0
20210323,3537.0
20210324,3059.0
20210325,3272.0
20210326,3279.0
20210327,3201.0
20210328,2919.0
20210329,3181.0
20210330,3262.0
20210331,3229.0
20210401,3470.0
20210402,3160.0
20210403,3057.0
20210404,2995.0
20210405,2872.0
20210406,3201.0
20210407,3247.0
20210408,3298.0
20210409,3211.0
20210410,2966.0
20210411,2848.0
20210412,3205.0
20210413,3195.0
20210414,3235.0
20210415,3208.0
20210416,3320.0
20210417,2883.0
20210418,2863.0
20210419,3091.0
20210420,3214.0
20210421,3302.0
20210422,3285.0
20210423,3334.0
20210424,2989.0
20210425,2911.0
20210426,3197.0
20210427,3474.0
20210428,3169.0
20210429,3296.0
20210430,3058.0
20210501,2884.0
20210502,2975.0
20210503,3234.0
20210504,3360.0
20210505,3578.0
20210506,3465.0
20210507,3518.0
20210508,3305.0
20210509,2975.0
20210510,3519.0
20210511,3611.0
20210512,3669.0
20210513,3682.0
20210514,3344.0
20210515,3507.0
20210516,3306.0
20210517,1437.0
20210518,3095.0
20210519,2880.0
20210520,2570.0
20210521,2882.0
20210522,3653.0
20210523,2244.0
20210524,2285.0
20210525,2797.0
20210526,2388.0
20210527,2523.0
20210528,2326.0
20210529,4990.0
20210530,3604.0
20210531,4077.0
20210601,3562.0
20210602,3989.0
20210603,3799.0
20210604,3726.0
20210605,3987.0
20210606,4063.0
20210607,4602.0
20210608,3775.0
20210609,3914.0
20210610,3749.0
20210611,2900.0
20210612,3046.0
20210613,2729.0
20210614,3273.0
20210615,3750.0
20210616,3715.0
20210617,3833.0
20210618,3848.0
20210619,4685.0
20210620,4156.0
20210621,3986.0
20210622,3589.0
20210623,3901.0
20210624,4694.0
20210625,5589.0
20210626,4203.0
20210627,4320.0
20210628,5005.0
20210629,5282.0
20210630,5987.0
20210701,6038.0
20210702,4602.0
20210703,4326.0
20210704,4525.0
20210705,2268.0
20210706,3924.0
20210707,3799.0
20210708,3805.0
20210709,3858.0
20210710,3811.0
20210711,3394.0
20210712,3464.0
20210713,2872.0
20210714,3832.0
20210715,4013.0
20210716,4235.0
20210717,4113.0
20210718,4457.0
20210719,3338.0
20210720,4042.0
20210721,5476.0
20210722,5400.0
20210723,5657.0
20210724,4373.0
20210725,3494.0
20210726,4518.0
20210727,3950.0
20210728,3033.0
20210729,3834.0
20210730,3833.0
20210731,5201.0
20210801,5486.0
20210802,4516.0
20210803,5591.0
20210804,4495.0
20210805,4526.0
20210806,4637.0
20210807,3438.0
20210808,4066.0
20210809,4845.0
20210810,4897.0
20210811,5975.0
20210812,5950.0
20210813,5481.0
20210814,5364.0
20210815,3483.0
20210816,4420.0
20210817,4393.0
20210818,4364.0
20210819,4913.0
20210820,5119.0
20210821,4736.0
20210822,3853.0
20210823,4656.0
20210824,3983.0
20210825,3951.0
20210826,4487.0
20210827,4788.0
20210828,5328.0
20210829,4682.0
20210830,3749.0
20210831,4829.0
20210901,3849.0
20210902,4267.0
20210903,3969.0
20210904,5140.0
20210905,4562.0
20210906,3883.0
20210907,3843.0
20210908,3860.0
20210909,3902.0
20210910,3303.0
20210911,3720.0
20210912,4008.0
20210913,3846.0
20210914,3958.0
20210915,3899.0
20210916,4841.0
20210917,4647.0
20210918,4609.0
20210919,3153.0
20210920,6911.0
20210921,6556.0
20210922,3816.0
20210923,3133.0
20210924,4457.0
20210925,5348.0
20210926,3209.0
20210927,4395.0
20210928,5268.0
20210929,4843.0
20210930,5212.0
20211001,3175.0
20211002,5235.0
20211003,3317.0
20211004,3756.0
20211005,2670.0
20211006,2327.0
20211007,1629.0
20211008,1854.0
20211009,5140.0
20211010,3642.0
20211011,2614.0
20211012,2384.0
20211013,2572.0
20211014,2884.0
20211015,2808.0
20211016,5663.0
20211017,6547.0
20211018,5902.0
20211019,5502.0
20211020,5030.0
20211021,6040.0
20211022,3899.0
20211023,4684.0
20211024,5049.0
20211025,4043.0
20211026,3471.0
20211027,3915.0
20211028,6817.0
20211029,5412.0
20211030,3806.0
20211031,4487.0
20211101,3357.0
20211102,2949.0
20211103,4206.0
20211104,3767.0
20211105,2818.0
20211106,5471.0
20211107,2584.0
20211108,5417.0
20211109,3914.0
20211110,3686.0
20211111,3857.0
20211112,4318.0
20211113,5117.0
20211114,4827.0
20211115,3571.0
20211116,3899.0
20211117,3859.0
20211118,3466.0
20211119,5704.0
20211120,4094.0
20211121,4098.0
20211122,6608.0
20211123,4036.0
20211124,3858.0
20211125,3937.0
20211126,4089.0
20211127,3727.0
20211128,3435.0
20211129,2773.0
20211130,4007.0
20211201,4556.0
20211202,3821.0
20211203,4966.0
20211204,4418.0
20211205,3620.0
20211206,3792.0
20211207,2841.0
20211208,4244.0
20211209,3256.0
20211210,3531.0
20211211,3273.0
20211212,4515.0
20211213,4083.0
20211214,3050.0
20211215,2686.0
20211216,2864.0
20211217,6616.0
20211218,4279.0
20211219,3428.0
20211220,2642.0
20211221,2862.0
20211222,3057.0
20211223,2423.0
20211224,3191.0
20211225,3035.0
20211226,3429.0
20211227,3767.0
20211228,3252.0
20211229,2807.0
20211230,4376.0
20211231,3927.0
20220101,3346.0
20220102,3641.0
20220103,3184.0
20220104,2620.0
20220105,2512.0
20220106,3209.0
20220107,3010.0
20220108,3147.0
20220109,3158.0
20220110,2491.0
20220111,2414.0
20220112,2220.0
20220113,2475.0
20220114,2681.0
20220115,2293.0
20220116,3429.0
20220117,2716.0
20220118,2425.0
20220119,3002.0
20220120,2661.0
20220121,2179.0
20220122,3032.0
20220123,2301.0
20220124,3167.0
20220125,2963.0
20220126,2549.0
20220127,3464.0
20220128,4700.0
20220129,3346.0
20220130,3087.0
20220131,3111.0
20220101,3345.0
20220102,3641.0
20220103,3184.0
20220104,2620.0
20220105,2512.0
20220106,3209.0
20220107,3010.0
20220108,3147.0
20220109,3158.0
20220110,2491.0
20220111,2413.0
20220112,2220.0
20220113,2475.0
20220114,2681.0
20220115,2293.0
20220116,3429.0
20220117,2715.0
20220118,2425.0
20220119,3002.0
20220120,2660.0
20220121,2179.0
20220122,3032.0
20220123,2301.0
20220124,3167.0
20220125,2963.0
20220126,2549.0
20220127,3463.0
20220128,4700.0
20220129,3346.0
20220130,3087.0
20220131,3111.0
20220201,4421.0
20220202,3232.0
20220203,3135.0
20220204,3577.0
20220205,2930.0
20220206,3108.0
20220207,2986.0
20220208,3395.0
20220209,2833.0
20220210,2972.0
20220211,3343.0
20220212,2921.0
20220213,3757.0
20220214,2966.0
20220215,2877.0
20220216,3665.0
20220217,3043.0
20220218,3184.0
20220219,2989.0
20220220,2972.0
20220221,2006.0
20220222,2603.0
20220223,2567.0
20220224,2511.0
20220225,3406.0
20220226,3437.0
20220227,3730.0
20220228,4127.0
20220301,2510.0
20220302,3135.0
20220303,7126.0
20220304,3261.0
20220305,4338.0
20220306,4632.0
20220307,2527.0
20220308,3290.0
20220309,2550.0
20220310,3088.0
20220311,3148.0
20220312,3438.0
20220313,2839.0
20220314,2659.0
20220315,2986.0
20220316,2859.0
20220317,2712.0
20220318,4424.0
